"Notes","Year","Year Code","State","State Code",Cases,Percent of Total,Rate per 100,000,Population
,"2021","2021","Missouri","29",77,0.02%,1.25,6168187
,"2021","2021","Montana","30",3,0.00%,0.27,1104271
,"2021","2021","Nebraska","31",22,0.01%,1.12,1963692
,"2021","2021","Nevada","32",61,0.01%,1.94,3143991
,"2021","2021","New Hampshire","33",12,0.00%,0.86,1388992
,"2021","2021","New Jersey","34",289,0.07%,3.12,9267130
,"2021","2021","New Mexico","35",24,0.01%,1.13,2115877
,"2021","2021","New York","36",683,0.16%,3.44,19835913
,"2021","2021","North Carolina","37",178,0.04%,1.69,10551162
,"2021","2021","North Dakota","38",15,0.00%,1.94,774948
,"2021","2021","Ohio","39",150,0.04%,1.27,11780017
,"2021","2021","Oklahoma","40",69,0.02%,1.73,3986639
,"2021","2021","Oregon","41",79,0.02%,1.86,4246155
,"2021","2021","Pennsylvania","42",166,0.04%,1.28,12964056
,"2021","2021","Rhode Island","44",17,0.00%,1.55,1095610
,"2021","2021","South Carolina","45",87,0.02%,1.68,5190705
,"2021","2021","South Dakota","46",12,0.00%,1.34,895376
,"2021","2021","Tennessee","47",84,0.02%,1.20,6975218
,"2021","2021","Texas","48",993,0.24%,3.36,29527941
,"2021","2021","Utah","49",17,0.00%,0.51,3337975
,"2021","2021","Vermont","50",3,0.00%,0.46,645570
,"2021","2021","Virginia","51",160,0.04%,1.85,8642274
,"2021","2021","Washington","53",199,0.05%,2.57,7738692
,"2021","2021","West Virginia","54",6,0.00%,0.34,1782959
,"2021","2021","Wisconsin","55",66,0.02%,1.12,5895908
,"2021","2021","Wyoming","56",3,0.00%,0.52,578803
"Total","2021","2021",,,7866,1.87%,2.37,331893745
,"2020","2020","Alabama","01",72,0.02%,1.46,4921532
,"2020","2020","Alaska","02",58,0.01%,7.93,731158
,"2020","2020","Arizona","04",136,0.03%,1.83,7421401
,"2020","2020","Arkansas","05",59,0.01%,1.95,3030522
,"2020","2020","California","06",1703,0.41%,4.33,39368078
,"2020","2020","Colorado","08",52,0.01%,0.90,5807719
,"2020","2020","Connecticut","09",54,0.01%,1.52,3557006
,"2020","2020","Delaware","10",17,0.00%,1.72,986809
,"2020","2020","District of Columbia","11",19,0.00%,2.67,712816
